"Historico de llamadas"
Llamada(ID),Placas,Chofer,Transportista,"Inicio de llamada",Mensaje,"Fin de llamada","Duracion (seg)","ID del chofer","ID del transportista","ID del requester MMCall"
105,ELVIS,"JUAN JUAN","JUAN JUAN","2019-04-07 17:24:56",JUAN,,0,20,38,65
104,ABC-123,"JUAN ALMEIDA","QUERETARO SA DE CV","2019-04-07 17:06:55","ESTE REQUESTER 76078",,0,21,36,59
103,NUE-992,"NUEVO CHOFER","NUEVO TRANSPORTE","2019-04-07 13:28:38","canciones lejanas","2019-04-07 13:42:27",829,27,44,58
102,456-YUI,"LARIO SANCHEZ","PARAPARA DE MEXICO","2019-04-07 13:26:26","MENSAJE CORTO",,0,26,43,57
101,BFV321,"LUIS ALMENDAREZ","SENSACION TRANSPORTES","2019-04-07 13:24:33","Este mensaje tabin pasar de dos lineas",,0,25,42,56
100,JHA-999,"HUGO RAFAEL","CANARIAS S.A DE C.V.","2019-04-07 13:23:16","Mi mensaje no se puede reenviar porquea","2019-04-07 17:45:45",15749,24,41,62
99,CAR-987,"MARIA LOPEZ","LOPEZ & ASOCIADOS","2019-04-07 13:21:41","ESTE MENSAJE PASARA DE DOS LINEAS REVISA",,0,23,40,61
98,456-YUI,"PEDRO ALBARRAN",ZODIACO,"2019-04-07 13:20:27","MISTER MENSAJE",,0,22,39,60
97,ELVIS,"JUAN JUAN","JUAN JUAN","2019-04-07 13:16:55","no se","2019-04-07 13:17:05",10,20,38,61
96,ABC-123,"JUAN ALMEIDA","QUERETARO SA DE CV","2019-04-07 13:14:37",Nuevo,"2019-04-07 13:15:27",50,21,36,60
94,ABC-123,"JUAN ALMEIDA","QUERETARO SA DE CV","2019-04-06 21:27:04","MENSAJE DE EJEMPLO","2019-04-07 12:11:22",53058,21,36,56
